"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"Pidebio","Tomate en rama - Pidebio - Kg","15,67","1,99","31,18","3,10","48,28",
"Pidebio","Tomate ensalada - Pidebio - 1 kilo","65,18","1,62","105,58","2,70","175,74",
"Pidebio","Tomate Genaro- Pidebio- Kilo","45,25","1,90","85,97","3,15","138,10",
"Pidebio","tomate othelo - pidebio - kg","2,12","1,40","2,97","2,20","4,66",
"Pidebio","Tomate Pera - Pidebio - Kilo","88,78","1,45","128,73","3,10","266,99",
"Pidebio","Uva Blanca -Pidebio- kilo","4,81","1,99","9,57","3,60","16,20",
"Pidebio","Uva Roja -Pidebio- kilo","3,14","1,99","6,25","4,20","12,18",
,,,,"Total:5 293,26",,"Total:8 768,20",
"Pollos Sanchonar","Alitas de pollo-Sanchonar- precio 500 g","1,59","3,11","4,92","10,00","14,74",
"Pollos Sanchonar","Carcasas de pollo-Sanchonar- precio kg","0,84","3,00","2,52","4,78","4,28",
"Pollos Sanchonar","Carne de pavo picada 500 gr- Sanchonar","0,50","6,65","3,33","10,60","5,30",
"Pollos Sanchonar","Carne de Pollo Picada - Sanchonar - Precio 500 g","0,51","7,00","3,57","22,30","11,37",
"Pollos Sanchonar","Chuleta de pavo 500 gr-Sanchonar","2,61","4,10","10,70","6,55","23,58",
"Pollos Sanchonar","Hamburguesa de pavo 250 gr-Sanchonar","2,00","4,60","9,20","7,35","14,70",
"Pollos Sanchonar","Hamburguesas de pollo-2 unid de 250g-Sanchonar-precio paq","1,00","4,10","4,10","6,55","6,55",
"Pollos Sanchonar","Jamoncitos de Pollo- Sanchonar -3 muslos envasados al vacio -precio 500 g","8,79","4,75","41,75","15,20","142,12",
"Pollos Sanchonar","Media gallina-Sanchonar- precio kg","0,49","6,10","2,99","9,75","4,78",
"Pollos Sanchonar","Pechuga entera sin piel-Sanchonar- precio 500 g","4,45","7,75","34,45","24,70","114,77",
"Pollos Sanchonar","Pechuga fileteada de pavo 500 gr- Sanchonar","1,98","10,05","19,90","16,05","47,43",
"Pollos Sanchonar","Pechuga fileteada Pollo-Sanchonar- precio 500 g","14,30","8,35","119,36","26,60","396,03",
"Pollos Sanchonar","Preparado para caldo de gallina-Sanchonar- precio kg","0,27","6,10","1,65","9,75","2,63",
"Pollos Sanchonar","Salchichas de pavo 250 gr-Sanchonar","3,00","4,60","13,80","7,35","22,05",
"Pollos Sanchonar","Salchichas de pollo Frankfurt 3 unidades-170g-Sanchonar-precio paquete","1,00","2,95","2,95","4,70","4,70",
"Pollos Sanchonar","Salchichas de pollo-7 unid-250g-Sanchonar-precio paq","3,00","4,10","12,30","6,55","21,25",
,,,,"Total:287,49",,"Total:836,28",
"Riet Vell","Arroz Blanco - Riet Vell - 1Kg","33,69","2,66","89,62","4,20","141,50",
"Riet Vell","Arroz Integral - Riet Vell - 1Kg","33,20","2,55","84,65","3,97","131,81",
"Riet Vell","Espagueti blanco- Riet Vell - 500gr","0,65","1,04","0,67","2,07","1,35",
"Riet Vell","Espagueti Integral -Riet Vell- paq 500 gr","6,90","1,12","7,71","2,40","16,39",
"Riet Vell","Espirales - Riet Vell - 500gr","5,52","1,04","5,71","2,07","11,43",
"Riet Vell","Fideo Fino - Riet Vell - 500gr","7,12","1,04","7,37","2,07","14,73",
"Riet Vell","Macarrones  Blancos - Riet Vell - 500gr","3,79","1,04","3,92","2,25","8,51",
"Riet Vell","Macarrones Integrales- Riet Vell- 500 gr","25,28","1,12","28,26","2,40","60,42",
