"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"EducarteSano","Pan de trigo sarraceno y maiz sin gluten La Garbancita-1 kg","5,00","3,90","19,50","5,73","28,65",
"EducarteSano","Pan Desayuno y Merienda- La Garbancita Ecologica- 1 kg","5,00","3,90","19,50","5,73","28,65",
"EducarteSano","Pan para Principiantes (trigo)- La Garbancita Ecologica- 1kg","9,00","2,90","26,10","4,48","40,32",
,,,,"Total:180,71",,"Total:267,46",
"El Buen Pastor","Brick leche UHT Entera - El Buen Pastor - 1L","291,00","1,20","349,20","2,00","568,00",
"El Buen Pastor","Brick leche UHT Semidesnatada - El Buen Pastor - 1L","88,00","1,20","105,60","2,00","176,00",
,,,,"Total:454,80",,"Total:744,00",
"El Cantero de Letur","Batido de canela y limon - 250 mL - El Cantero de Letur","14,00","0,96","13,43","1,50","21,00",
"El Cantero de Letur","Batido de Vainilla - 250 mL - El Cantero de Letur","7,00","0,96","6,71","1,50","10,50",
"El Cantero de Letur","Ecobifidus de cabra - El Cantero de Letur - 2 x 125 gr","2,00","1,36","2,71","2,15","4,30",
"El Cantero de Letur","Flan de Huevo - El Cantero de Letur - 100gr","4,00","0,90","3,59","1,40","5,60",
"El Cantero de Letur","Kefir de Cabra desnatado - El Cantero de Letur - 420 gr","5,00","2,00","10,00","3,10","14,88",
"El Cantero de Letur","Kefir de vaca desnatado -420gr- Cantero Letur","2,00","1,89","3,77","2,95","5,90",
"El Cantero de Letur","Leche de Cabra Entera 1l - El Cantero Letur","7,00","2,73","19,11","4,05","28,35",
"El Cantero de Letur","Leche de Cabra pasteurizada semidesnatada - El Cantero de Letur - 1 L","7,00","2,73","19,14","4,05","28,35",
"El Cantero de Letur","Leche de vaca pasteurizada semidesnatada - El Cantero de Letur - 1 L","3,00","2,24","6,73","3,30","9,90",
"El Cantero de Letur","Natillas de huevo - El Cantero de Letur - 100gr","4,00","0,92","3,67","1,45","5,80",
"El Cantero de Letur","Natillas de soja vainilla 2 x 125 gr - El Cantero de Letur","1,00","1,40","1,40","2,25","2,25",
"El Cantero de Letur","Queso BioBurgos de Cabra - El Cantero de Letur - 2x100 gr","13,00","2,23","29,04","3,30","42,90",
"El Cantero de Letur","Queso de Oveja Leche Cruda - El Cantero de Letur - Cuna 200 gr","1,08","3,63","3,90","5,45","5,86",
"El Cantero de Letur","Yogur de oveja - El Cantero de Letur - 420 gr","3,00","2,11","6,33","3,30","9,90",
"El Cantero de Letur","Yogur de Oveja desnatado - El Cantero de Letur- 420 gr","11,00","2,11","23,22","3,30","36,30",
"El Cantero de Letur","Yogur de vaca desnatado sin lactosa - El Cantero de Letur - 2 x 125 gr","3,00","1,23","3,70","1,95","5,85",
"El Cantero de Letur","Yogur de vaca sin lactosa - El Cantero de Letur - 2 x125 gr","6,00","1,20","7,22","1,90","11,40",
"El Cantero de Letur","Yogur griego de Cabra - El Cantero de Letur - 2 x 125 gr","3,00","1,34","4,02","2,15","6,45",
"El Cantero de Letur","Yogur griego de Cabra - El Cantero de Letur - 420 gr","7,00","2,02","14,14","3,20","22,40",
