"Products list"
"ref","description","Base imp.","IVA","Total",
"HORAIGU0133","Patata nueva -AiguaClara - bolsa 5 kilos","7.10","4.00","7.38",
"HORAIGU0134","Patata nueva 1 KILO-AiguaClara","1.42","4.00","1.48",
"HORAIGU0135","Berenjena -AiguaClara -1 kilo","2.33","4.00","2.43",
"HORAIGU0136","Zanahoria -AiguaClara - 1 kilo","2.18","4.00","2.27",
"HORAIGU0137","Tomate Ensalada 2ª -AiguaClara -1 kilo","2.28","4.00","2.37",
"HORAIGU0138","Tomate Pera - Aiguaclara - 1 Kg","1.52","4.00","1.58",
"HORAIGU0139","Pimiento Rojo Italiano - Aiguaclara - 1 kilo","2.40","21.00","2.90",
"HORAIGU0140","Tomate Variado Ensalada -AiguaClara -1 kilo","2.28","4.00","2.37",
"HORAIGU0141","Calabaza Gijarro - AiguaClara -Pieza, precio 1 kg","1.93","4.00","2.00",
"HORAIGU0142","Cola de Caballo - Aiguaclara -manojo 60 gr","1.32","4.00","1.37",
"HORAIGU0143","Rucula- AiguaClara - manojo 60 gr","1.17","4.00","1.21",
"HORAIGU0144","Judia Verde Plana - Aiguaclara - 500 gr","2.43","4.00","2.53",
"HORBESA001","Calabacin - Besana - kilo","1.68","4.00","1.75",
"HORBESA002","Pepino- Besana- kilo","1.68","4.00","1.75",
"HORBESA003","Zapallitos - Besana - kg","3.51","4.00","3.65",
"HORBESA004","Alficoz- Besana - kg","2.02","4.00","2.10",
"HORBESA005","Tomate rosado - Besana - kg","2.16","4.00","2.25",
"HORBESA006","Pimiento verde  italiano- Besana- kg","2.26","4.00","2.35",
"HORBESA007","Calabaza vasca-Besana- kg","1.59","4.00","1.65",
"HORBESA008","Okra- Besana- Kg","3.99","4.00","4.15",
"HORBESA009","Tomate corazon de buey- Besana- kg","2.40","4.00","2.50",
"HORBESA010","Tomate tres cantos- Besana- kg","2.21","4.00","2.30",
"HORBESA011","Tomate Gigante 3 cantos-Besana- kg","2.40","4.00","2.50",
"HORBESA012","Espinaca-manojo- Besana","2.21","4.00","2.30",
"HORBESA013","Coliflor- pieza-Besana","3.13","4.00","3.25",
"HORBESA014","Cebolleta-manojo-Besana","2.07","4.00","2.15",
"HORBESA015","Nabo- Besana- kg","1.97","4.00","2.05",
"HORBESA016","Coliflor Pequena- Besana- pieza","2.21","4.00","2.30",
"HORBESA017","Lechuga Maravilla -precio Unidad-","1.83","4.00","1.90",
"HORBIOM0001","Acelga-Biomilanes-1 Kg","2.40","4.00","2.50",
"HORBIOM0002","Alcachofas-Biomilanes-1 Kg","3.80","4.00","3.95",
"HORBIOM0003","Berenjena INVERNADERO- Biomilanes- 1 Kg","2.26","4.00","2.35",
"HORBIOM0004","Brocoli- Biomilanes- 1 Kg","3.03","4.00","3.15",
"HORBIOM0005","Calabacin INVERNADERO-Biomilanes- 1 Kg","2.12","4.00","2.20",
"HORBIOM0006","Calabaza cacahuete-Biomilanes- PIEZA, precio Kg","1.97","4.00","2.05",
"HORBIOM0007","Cebolla Roja-Biomilanes- 1 Kg","2.50","4.00","2.60",
"HORBIOM0008","Cebolla Roja-Biomilanes- 2 Kg","5.05","4.00","5.25",
"HORBIOM0009","Coliflor-Biomilanes- pieza, precio kg","1.78","4.00","1.85",
"HORBIOM0010","Col lisa-Biomilanes- pieza, precio kg","2.31","4.00","2.40",
"HORBIOM0011","Espinacas-Biomilanes-Manojo 500 gr","3.17","4.00","3.30",
"HORBIOM0012","Habas-Biomilanes-1 Kg","2.45","4.00","2.55",
"HORBIOM0013","Lechuga trocadero-Biomilanes- Ud","1.73","4.00","1.80",
"HORBIOM0014","Lechuga Hoja de Roble-Biomilanes-1 Ud","1.73","4.00","1.80",
"HORBIOM0015","Lechuga Lollo rosso-Biomilanes- Ud","1.83","4.00","1.90",
"HORBIOM0016","Patata Blanca-Biomilanes- 1 Kg","1.73","4.00","1.80",
"HORBIOM0017","Patata Blanca-Biomilanes- 2 Kg","3.46","4.00","3.60",
"HORBIOM0018","Patata Blanca-Biomilanes- 5 Kg","8.65","4.00","9.00",
"HORBIOM0019","Pimiento verde italiano - Biomilanes-1 kilo","2.45","4.00","2.55",
"HORBIOM0020","Pimiento rojo california-Biomilanes-1 Kg","3.61","4.00","3.75",
"HORBIOM0021","Rabanitos-Biomilanes-Manojo","2.50","4.00","2.60",
"HORBIOM0022","Rucula-Biomilanes-Manojo 250 aprox","1.25","4.00","1.30",
"HORBIOM0023","Tomate ensalada INVERNADERO-Biomilanes-1 kg","2.31","4.00","2.40",
"HORBIOM0024","Tomate Cherry-Biomilanes-1 Kg","3.32","4.00","3.45",
"HORBIOM0025","Tomate Pera INVERNADERO- Biomilanes -1 Kg","1.97","4.00","2.05",
"HORBIOM0026","Hinojo - Biomilanes, precio kg","2.73","10.00","3.00",
"HORBIOM0027","Jengibre (raiz)- Biomilanes- 250 gramos","1.27","10.00","1.40",
"HORBIOM0028","Tomate en rama -Biomilanes-kg","3.03","4.00","3.15",
"HORBIOM0029","Hierbabuena-Biomilanes-manojo 250gr","1.25","4.00","1.30",
"HORBIOM0030","Judia verde Helda-Biomilanes-precio kilo","3.56","4.00","3.70",
"HORBIOM0031","Patata Blanca Nueva-Biomilanes- 1 Kg","1.59","4.00","1.65",
"HORBIOM0032","Patata Blanca Nueva-Biomilanes- 2 Kg","3.32","4.00","3.45",
"HORBIOM0033","Patata Blanca Nueva-Biomilanes- 5Kg","8.27","4.00","8.60",
"HORBIOM0034","Pimiento Italiano Ramiro Rojo-Biomilanes- 1 kilo","3.56","4.00","3.70",
"HORBIOM0035","Tomate Redondo -Biomilanes - 1 kilo","2.40","4.00","2.50",
"HORBIOM0036","Lechuga Oreja de Burro (Romana) - Biomilanes","1.83","4.00","1.90",
"HORBIOM0037","Pimiento Verde Asar- Biomilanes- kg","3.61","4.00","3.75",
"HORBIOM0038","Zanahoria con hojas-Biomilanes-manojo","1.91","4.00","1.99",
"HORBIOM0039","Calabaza Hokkaido - Biomilanes - Pieza precio kilo","1.83","4.00","1.90",
"HORBIOM0040","Tomate autoctono-Biomilanes-1 kg","3.13","4.00","3.25",
"HORBIOM0041","Pepino INVERNADERO-Biomilanes-1kilo","2.31","4.00","2.40",
"HORBIOM0042","Col lombarda- Biomilanes- precio kg","1.83","4.00","1.90",
"HORBIOM0043","Cebolleta - Biomilanes - Precio kilo","2.60","4.00","2.70",
"HORBIOM0044","Tomate ensalada-Biomilanes-1kilo","2.55","4.00","2.65",
"HORBIOM0045","Berenjena- Biomilanes- 1 Kg","2.98","4.00","3.10",
"HORBIOM0046","Calabacin-Biomilanes- 1 Kg","2.16","4.00","2.25",
"HORBIOM0047","Remolacha HOJA - Biomilanes - kg","1.73","4.00","1.80",
"HORBIOM0048","Patata roja - Biomilanes - 1 Kg","1.73","4.00","1.80",
"HORBIOM0049","Boniato -Biomilanes- precio kilo","2.74","4.00","2.85",
"HORBIOM0050","Patata roja - Biomilanes - 2 kilos","3.46","4.00","3.60",
"HORBIOM0051","Cebolla Seca- Biomilanes- 1 kilo","1.68","4.00","1.75",
"HORBIOM0052","Apio - Biomilanes - kg","2.21","4.00","2.30",
"HORBIOM0053","Col Picuda-Biomilanes-precio Pieza","1.83","4.00","1.90",
"HORBIOM0054","Col RIZADA - Biomilanes - pieza,kg","2.55","4.00","2.65",
"HORBIOM0055","Colinabo - Biomilanes - pieza 300 gr., precio kg","2.74","4.00","2.85",
"HORBIOM0056","Tomate Cherry INVERNADERO-Biomilanes-kg","3.03","4.00","3.15",
"HORBIOM0057","Pimiento California Rojo INVERNADERO -Biomilanes-Kg","3.94","4.00","4.10",
"HORBIOM0058","Judia verde - Biomilanes - kg","4.04","4.00","4.20",
"HORBIOM0059","Cebolla Babosa- Biomilanes- kilo","1.73","4.00","1.80",
"HORBIOM0060","Guisante - Biomilanes - 500 gr","2.74","4.00","2.85",
"HORBIOM0061","Curcuma (raiz) - 100 gr - Biomilanes","1.64","10.00","1.80",
"HORBIOM0062","Col crespa (khale) - Biomilanes - kg","2.60","4.00","2.70",
"HORBIOM0063","Tomate Tumako- Biomilanes - kilo","3.27","4.00","3.40",
"HORBIOM0064","Puerros - Biomilanes- Kilo","3.08","4.00","3.20",
"HORBIOM0065","Cebolla Fresca - Biomilanes - Kilo","2.36","4.00","2.45",
"HORBIOM0066","Pimiento amarillo asar - Biomilanes - Kilo","3.56","4.00","3.70",
"HORBIOM0067","Lechuga Maravilla - Biomilanes - Unidad","1.83","4.00","1.90",
"HORBIOM0068","Ajo - Biomilanes - 500gr","2.88","4.00","3.00",
"HORBIOM0069","Tomate pera - Biomilanes - kilo","2.12","4.00","2.20",
"HORBIOM0070","Esparragos verdes - Biomilanes - precio manojo 500 gr.","5.00","4.00","5.20",
"HORBIOM0071","Tomate Pera Pequeno- Biomilanes- kg","1.92","4.00","2.00",
"HORBIOM0072","Seta Shitake - Biomilanes- 500 gr","6.68","4.00","6.95",
"HORBIOM0073","Lechuga malaguena- Biomilanes- pieza","1.73","4.00","1.80",
"HORBIOM0074","Calabacin amarillo- Biomilanes- kg","3.22","4.00","3.35",
"HORBIOM0075","Tomate Marmande-Biomilanes- kg","3.03","4.00","3.15",
"HORBIOM0076","Col rizada - Pidebio - precio Kg","2.60","4.00","2.70",
"HORBIOM0077","Col Kale - Biomilanes - manojo 500gr.","1.54","4.00","1.60",
"HORBIOM0078","Seta Ostra - Biomilanes- 500 gr","4.13","4.00","4.30",
"HORBIOM0079","Aguacate Reed -Biomilanes - 1 Kg","5.58","4.00","5.80",
"HORBIOM0080","Tomate de Gazpacho- Biomilanes- Kilo","1.54","4.00","1.60",
"HORBIOM0081","Pepino-Biomilanes- kilo","1.97","4.00","2.05",
"HORBIOM00_70","Tomate maduro- Biomilanes -Kg","1.54","4.00","1.60",
"HORBIOM072","Tomate Rebelion- Biomilanes- kg","2.74","4.00","2.85",
"HORBIOMES0046","Berenjena- Biomilanes escuela-Kilo","1.68","21.00","2.03",
"HORBIOMESC1","Ajo - Biomilanes- Escuela 500g","1.24","4.00","1.29",
"HORBIOMESC10","kiwi-biomilanes-escuela","4.59","4.00","4.77",
"HORBIOMESC11","Caqui- escuela-Biomilanes","1.87","4.00","1.94",
"HORBIOMESC12","Calabacin-escuela-Biomilanes","1.92","4.00","2.00",
"HORBIOMESC13","Lechuga-escuela-biomilanes","0.86","4.00","0.89",
"HORBIOMESC15","mandarina-escuela-biomilanes","1.31","4.00","1.36",
"HORBIOMESC16","Naranja Zumo - Biomilanes - Escuela","1.44","4.00","1.50",
"HORBIOMESC17","Repollo- escuela- biomilanes","0.96","4.00","1.00",
"HORBIOMESC18","Limones - Biomilanes - Escuela","2.25","4.00","2.34",
"HORBIOMESC19","Manzana - Biomilanes - Escuela","4.18","4.00","4.35",
"HORBIOMESC2","Calabaza cacahuete- Biomilanes- escuela-kg","2.21","4.00","2.30",
"HORBIOMESC20","Fresa - Biomilanes - Escuela","3.90","4.00","4.06",
"HORBIOMESC21","Tomate Pera- Biomilanes- Escuela","1.68","4.00","1.75",
"HORBIOMESC22","Pepino- Biomilanes- Escuela","1.56","4.00","1.62",
"HORBIOMESC23","Pera agua - Biomilanes- kilo","3.16","4.00","3.29",
"HORBIOMESC3","Tomate Ensalada - Biomilanes - Escuela","1.80","4.00","1.87",
"HORBIOMESC4","Tomate guisar- Biomilanes- escuela","1.44","4.00","1.50",
"HORBIOMESC5","Pimiento Rojo - Biomilanes - Escuela","2.94","4.00","3.06",
"HORBIOMESC6","Pimiento Verde - Biomilanes - Escuela","2.64","4.00","2.75",
"HORBIOMESC7","Melon piel sapo- Biomilanes- escuela","1.74","4.00","1.81",
"HORBIOMESC8","Sandia - Biomilanes - Escuela","1.08","4.00","1.12",
"HORBIOMESC9","Platano-biomilanes-escuela","1.82","4.00","1.89",
"HORBIOP0001","Nabo blanco- Bionatura-kilo","1.35","4.00","1.40",
"HORBIOP0002","Ajos Tiernos-Bionatura-manojo","1.97","4.00","2.05",
"HORBIOP0003","Guisantes- Bionatura-kilo","3.27","4.00","3.40",
"HORBIOP0004","Habas granadas- Bionatura-kilo","2.16","4.00","2.25",
"HORCASELESC14","Naranja zumo- Casella -Escuela","1.80","4.00","1.87",
"HORCASESC1","Albaricoques - Casella - Escuela","2.65","4.00","2.76",
"HORCASESC2","Perejil - Casella - Escuela","2.37","4.00","2.46",
"HORCASESC3","Lechuga - Casella - Escuela","1.07","4.00","1.11",
"HORCASESC4","Melocoton - Casella - Escuela","2.82","4.00","2.93",
"HORCASESC5","Paraguaya conversion - Casella - Escuela","3.70","4.00","3.85",
"HORECOE0001","Zanahoria -Ecoeduco - manojo 750 gr aprox","2.02","4.00","2.10",
"HORECOE0002","Puerro -Ecoeduco - 1 kilo","3.08","4.00","3.20",
"HORECOE0003","Cebolla semiseca -Ecoeduco - 1 kilo","1.68","4.00","1.75",
"HORECOE0004","Cebolleta Blanca - Ecoeduco - manojo 3 piezas","1.97","4.00","2.05",
"HORECOE0005","Col Lombarda- Ecoeduco- precio kilo","2.69","4.00","2.80",
"HORECOE0006","Cebolla roja seca - Ecoeduco - Kilo","1.88","4.00","1.95",
"HORECOE0007","Remolacha -Ecoeduco- manojo 3 piezas","1.92","4.00","2.00",
"HORECOE0008","Apiorabano- Ecoeduco- pieza 800gr aprox, precio kg","2.84","4.00","2.95",
"HORECOE0009","Zanahoria - Ecoeduco - Kilo","1.91","4.00","1.99",
"HORECOE0010","Tomate Elvirado - Ecoeduco- kilo","2.28","4.00","2.37",
"HORECOE00100","Ajo Blanco grande - pieza 500 gr aprox","2.98","4.00","3.10",
"HORECOE0011","Tomate Pera - Ecoeduco - 1 kilo","1.25","4.00","1.30",
"HORECOE0012","Brocoli - Ecoeduco - 1 kilo","3.13","4.00","3.25",
"HORECOE0013","Remolacha -Ecoeduco - 1 kilo","1.25","4.00","1.30",
"HORECOE0014","Cebolla seca -Ecoeduco- 1 kilo","1.68","4.00","1.75",
"HORECOE0015","Cebolla seca -Ecoeduco- 2 kilos","3.37","4.00","3.50",
"HORECOE0016","Remolacha cocida -Ecoeduco - 500 gr","2.26","4.00","2.35",
"HORECOE0017","Calabacin -Ecoeduco -1 kilo","1.63","4.00","1.70",
"HORECOE0018","Patata roja - Ecoeduco - 2 Kg","3.46","4.00","3.60",
"HORECOE0019","Patata roja - Ecoeduco - 5 Kg","8.65","4.00","9.00",
"HORECOE0020","Patata roja - Ecoeduco - 1 Kg","1.68","4.00","1.75",
"HORECOE0021","Pimiento Verde Lamuyo - Ecoeduco - 1 Kg","2.84","4.00","2.95",
"HORECOE0022","Tomate raf Maduro - Ecoeduco - Kg","2.07","4.00","2.15",
"HORECOE0023","Berenjena - Ecoeduco - 1 kilo","2.26","4.00","2.35",
"HORECOE0024","Pimiento Rojo Lamuyo - Ecoeduco - 1 Kilo","3.14","4.00","3.27",
"HORECOE0025","Patata Blanca -Ecoeduco - 5 kilos","8.65","4.00","9.00",
"HORECOE0026","Patata Blanca -Ecoeduco - 2 kilos","3.46","4.00","3.60",
"HORECOE0027","Patata Blanca -Ecoeduco - 1 kilo","1.73","4.00","1.80",
"HORECOE0028","Coliflor - Ecoeduco - 1 kilo","2.55","4.00","2.65",
"HORECOE0029","Col Lisa -Ecoeduco - precio kilo","2.50","4.00","2.60",
"HORECOE0030","Tomate Raf- Ecoeduco-precio kilo","3.56","4.00","3.70",
"HORECOE0031","Nabo blanco Ecoeduco-precio manojo","2.88","4.00","3.00",
"HORECOE0032","Zanahoria morada manojo 750 gr.- Ecoeduco-precio","2.26","4.00","2.35",
"HORECOE0033","Col Rizada Ecoeduco-precio kilo","2.55","4.00","2.65",
"HORECOE0034","Remolacha amarilla-Ecoeduco-manojo 3 piezas","2.26","4.00","2.35",
"HORECOE0035","Tomate Ensalada- Ecoeduco- 1 kilo","2.26","4.00","2.35",
"HORECOE0036","Colirabano pieza  - Ecoeduco- precio kg","2.26","4.00","2.35",
"HORECOE0037","Zanahoria morada-Ecoeduco-precio kilo","2.31","4.00","2.40",
"HORECOE0038","Tomate Pera MADURO- Ecoeduco- Oferta 2 kilos","2.50","4.00","2.60",
"HORECOE0039","Acelga -Ecoeduco - 1 kilo","2.55","4.00","2.65",
"HORECOE0040","Remolacha amarilla-Ecoeduco- 1 kilo","1.83","4.00","1.90",
"HORECOE0041","Tomate Cherry -Ecoeduco- 1 kilo","4.33","4.00","4.50",
"HORECOE0042","Cebolla Semiseca- Ecoeduco - 2 kilo","1.68","4.00","1.75",
"HORECOE0043","Col Picuda Roja - Ecoeduco - kilo","2.60","4.00","2.70",
"HORECOE0044","Calabaza Hokkaido - Ecoeduco - Pieza precio kilo","2.40","4.00","2.50",
"HORECOE0045","Espinaca - Ecoeduco - Manojo 250gr.","2.36","4.00","2.45",
"HORECOE0046","Col Khale - Ecoeduco - manojo 500gr.","1.83","4.00","1.90",
"HORECOE0050","Colirrabano-Ecoeduco-precio kilo","2.26","4.00","2.35",
"HORECOE0051","Champinon Portobelo - Ecoeduco- 500 gr","4.76","4.00","4.95",
"HORECOE0093","Pimiento Rojo California Ecoeduco-precio kilo","3.99","4.00","4.15",
"HORECOE0094","Pimiento Verde California Ecoeduco-Precio kilo","2.98","4.00","3.10",
"HORECOE0095","Pimiento Amarillo Ecoeduco-precio kilo","3.41","4.00","3.55",
"HORECOE0096","Chirivia Ecoeduco-precio kilo","3.41","4.00","3.55",
"HORECOE0097","Pimiento Italiano Rojo-Ecoeduco-precio kilo","2.31","4.00","2.40",
"HORECOE0098","Nabo Daikon- Ecoeduco- precio kilo","3.13","4.00","3.25",
"HORECOE0099","Calabaza Cacahuete- Ecoeduco- precio kilo","2.21","4.00","2.30",
"HORECOE0100","Patata Blanca Mini - Ecoeduco- precio kilo","1.39","4.00","1.45",
"HORECOE0101","Maiz cocido-Ecoeduco-500 gr","2.55","4.00","2.65",
"HORECOE01010","Lechuga Batavia-Ecoeduco-Unidad","1.63","4.00","1.70",
"HORECOE0102","Apio- Ecoeduco - kilo","2.50","4.00","2.60",
"HORECOE0103","Cebolleta Roja - Ecoeduco - manojo 3 piezas","1.73","4.00","1.80",
"HORECOE0104","Col PICUDA - Ecoeduco - pieza 700 gr. aprox, precio kg","2.45","4.00","2.55",
"HORECOE0105","Calabaza VASCA/GUERNICA - Ecoeduco - Precio, kg","1.83","4.00","1.90",
"HORECOE0106","Tomate raf INVERNADERO - Ecoeduco - kilo","3.17","4.00","3.30",
"HORECOE0107","Guisante Tierno - Ecoeduco - kilo","8.03","4.00","8.35",
"HORECOE0108","Ajo morado - Ecoeduco - 500 gr.","2.52","4.00","2.62",
"HORECOE0109","Zanahoria Zumo-Ecoeduco- Kilo","1.44","4.00","1.50",
"HORECOE0111","Lechuga BATAVIA- Ecoeduco escuela-Kilo","1.08","21.00","1.31",
"HORECOESC1","Zanahoria-Ecoeduco- escuela","1.38","4.00","1.44",
"HORECOESC2","Calabacin - Ecoeduco - Escuela","1.39","4.00","1.45",
"HORECOESC3","Patata - Ecoeduco - Escuela","1.20","4.00","1.25",
"HORECOESC4","Cebolla - Ecoeduco - Escuela","1.39","4.00","1.45",
"HORECOESC5","Puerro - Ecoeduco - Escuela","2.03","4.00","2.11",
"HORECOESC6","Calabaza - Ecoeduco - Escuela","1.74","4.00","1.81",
"HORECOESC7","Ajo - Escuela","3.84","4.00","3.99",
"HORECOESC8","Repollo - Ecoeduco - Escuela","1.95","4.00","2.03",
"HOREDEM0001","Tomate maduro - Edemur - kilo","1.44","4.00","1.50",
"HOREDEM0002","Col Crespa o khale verde-Edemur-manojo 400 gr. aprox.","2.60","4.00","2.70",
"HOREDEM0003","Col crespa o khale roja-Edemur-manojo 500 gr. aprox.","2.60","4.00","2.70",
"HOREDEM0004","Col_Rabi_Edemur_Pieza","1.06","4.00","1.10",
"HOREDEM0005","Colinabo ROJO - Edemur - unidad","1.25","4.00","1.30",
"HOREDEM0006","Hierbabuena- Edemur- Manojo","2.50","4.00","2.60",
"HOREDEM0007","Menta blanca-Edemur-manojo 100/125 gr","2.79","4.00","2.90",
"HOREDEM0008","Nabo blanco-Edemur- 1kg","2.07","4.00","2.15",
"HOREDEM0009","Mazorca de Maiz- Edemur -unidad","2.31","4.00","2.40",
"HOREDEM0010","Pimiento de padron (MUY PICANTE) - EDEMUR - 500g","2.64","4.00","2.75",
"HOREDEM0011","Pack Choi - EDEMUR - precio pieza 500 gr. aprox.","1.73","4.00","1.80",
"HOREDEM0012","Berenjena rayada - Edemur Precio kg.","2.31","4.00","2.40",
"HOREDEM0013","Melon Piel de Sapo - Edemur  Precio Kg","2.50","4.00","2.60",
"HOREDEM0014","Manzanas alguazas","2.84","4.00","2.95",
"HOREDEM0015","Hojas de laurel Edemur","0.48","4.00","0.50",
"HOREDEM0017","Acelga Amarilla-Edemur-  Manojo 500 gr.","1.86","21.00","2.25",
"HOREDEM0035","Chirivia - Edemur - manojo","3.41","4.00","3.55",
"HOREDEM0036","libre","2.02","4.00","2.10",
"HOREDEM0043","Calabaza Potimarron- Edemur-Precio Kg","2.45","4.00","2.55",
"HOREDEM0044","Calabaza Cacahuete-EDEMUR-Precio Kg","2.21","4.00","2.30",
"HOREDEM0045","Calabacin-EDEMUR-kg","2.33","4.00","2.43",
"HOREDEM0046","Tomate Ensalada-EDEMUR-Kg","2.98","4.00","3.10",
"HOREDEM0047","Zanahoria-EDEMUR-Kg","2.38","4.00","2.48",
"HOREDEM0048","Calabaza cacahuete pequena-Edemur-Precio Kg","2.45","4.00","2.55",
"HOREDEM0049","Tomate rojo para gazpacho-EDEMUR-kg","1.83","4.00","1.90",
"HOREDEM0050","Perejil fresco-Edemur -manojo (200-400 gr.)","1.35","4.00","1.40",
"HOREDEM0051","Col Picuda -Edemur- pieza aprox 0.5-0.7 kilos","2.60","4.00","2.70",
"HOREDEM0052","Colirrabano- Edemur - pieza","1.39","4.00","1.45",
"HOREDEM0053","Col Romanescu -Edemur- precio kilo","3.70","4.00","3.85",
"HOREDEM0054","Hinojo de bulbo -Edemur- pieza","1.92","4.00","2.00",
"HOREDEM0055","Lechuga Batavia -Edemur- pieza","1.25","4.00","1.30",
"HOREDEM0056","Lechuga Hoja de Roble Verde -Edemur- pieza","1.35","4.00","1.40",
"HOREDEM0057","Lechuga Romana -Edemur -pieza","1.54","4.00","1.60",
"HOREDEM0058","Lechuga Trocadero -Edemur - pieza","1.54","4.00","1.60",
"HOREDEM0059","Achicoria Edemur 500gr","1.88","4.00","1.95",
"HOREDEM0060","Cebolla tierna roja- Edemur- manojo 300-600 gr","2.07","4.00","2.15",
"HOREDEM0061","Lechuga escarola hoja - Edemur- manojo","0.72","4.00","0.75",
"HOREDEM0062","Lechuga escarola - Edemur- pieza","1.92","4.00","2.00",
"HOREDEM0063","Brocoli- Edemur- 1 kg","3.70","4.00","3.85",
"HOREDEM0064","Coles de bruselas- Edemur- bolsa 500 gr","2.93","4.00","3.05",
"HOREDEM0065","Lechuga Baby - Edemur - pieza","1.06","4.00","1.10",
"HOREDEM0066","Lechuga Iceberg - Edemur- pieza","1.54","4.00","1.60",
"HOREDEM0067","Lechuga Hoja de Roble Roja- Edemur- pieza","1.35","4.00","1.40",
"HOREDEM0068","Achicoria (diente de leon)- Edemur- manojo","1.92","4.00","2.00",
"HOREDEM0069","Coliflor - Edemur - pieza , precio kilo","2.79","4.00","2.90",
"HOREDEM0070","Col rizada - Edemur - Precio kg","2.84","4.00","2.95",
"HOREDEM0071","Lechuga maravilla - Edemur - pieza","1.35","4.00","1.40",
"HOREDEM0072","Rabanito redondo - Edemur - manojo","1.88","4.00","1.95",
"HOREDEM0073","Cardo  - Edemur - manojo","1.97","4.00","2.05",
"HOREDEM0074","Hinojo Bulbo - EDEMUR -pieza, precio kg","2.98","4.00","3.10",
"HOREDEM0075","Espinaca - Edemur - Manojo 500 gr aprox.","3.85","4.00","4.00",
"HOREDEM0076","Ajetes - Edemur - Manojo 8uds","2.26","4.00","2.35",
"HOREDEM0077","Alcachofa - Edemur - 1 Kg","3.27","4.00","3.40",
"HOREDEM0078","Tomate Cherry - Edemur - 1 Kg","3.51","4.00","3.65",
"HOREDEM0079","Tomate Mutxamiel + Flor de Baladre - Edemur - 1 Kg","4.86","4.00","5.05",
"HOREDEM0080","Tomate pera negro - Edemur - 1 Kg","4.09","4.00","4.25",
"HOREDEM0081","Habas Tiernas -Edemur- 1 kilo","3.03","4.00","3.15",
"HOREDEM0082","Cebolla tierna blanca babosa- Edemur- manojo 450 gr aprox","1.88","4.00","1.95",
"HOREDEM0083","Cebolla tierna blanca fuentes- Edemur- manojo 450 gr aprox","2.07","4.00","2.15",
"HOREDEM0084","Acelga verde- Edemur- 1 kilo","2.40","4.00","2.50",
"HOREDEM0085","Nabo redondo- Edemur- manojo","1.78","4.00","1.85",
"HOREDEM0086","Albahaca hoja ancha -Edemur - Manojo 150 gr aprox.","1.92","4.00","2.00",
"HOREDEM0087","Alpicoz-Edemur-kg","2.31","4.00","2.40",
"HOREDEM0088","Zanahoria tierna con hojas - Edemur - manojo 600 gr aprox","2.31","4.00","2.40",
"HOREDEM0089","Remolacha con hojas - Edemur - manojo  3/4uds","2.07","4.00","2.15",
"HOREDEM0090","Calabaza Butternut - Edemur- Pieza, precio kilo","1.78","4.00","1.85",
"HOREDEM0091","Puerro - Edemur - Manojo,500gr","2.60","4.00","2.70",
"HOREDEM0092","Ortiga FRESCA - Edemur - bolsa 250 gr.","3.65","4.00","3.80",
"HOREDEM0093","Apio de primavera - Edemur - pieza 550 gr. aprox.","2.16","4.00","2.25",
"HOREDEM0094","Pepino largo -Edemur- kilo","3.13","4.00","3.25",
"HOREDEM0095","Berenjena Blanca del terreno- Edemur- 1 kilo","2.45","4.00","2.55",
"HOREDEM0096","Calabaza Totanera- Edemur- pieza, precio kilo","2.45","4.00","2.55",
"HOREDEM0097","Pimiento vietnamita Edemur-bolsa 250 gr","2.16","4.00","2.25",
"HOREDEM0098","Acelga verde Edemur-manojo 600 g aprox","1.88","4.00","1.95",
"HOREDEM0099","Calabaza del terreno-Edemur-precio kilo","1.88","4.00","1.95",
"HOREDEM0100","Pimiento italiano rojo-Edemur-precio kilo","3.51","4.00","3.65",
"HOREDEM0101","Uva del terreno-Edemur-precio kilo","4.09","4.00","4.25",
"HOREDEM0102","Eneldo fresco- Edemur - manojo 150 gr","1.30","4.00","1.35",
"HOREDEM0103","Laurel- Edemur- 300 gr aprox","2.31","4.00","2.40",
"HOREDEM0104","libre","1.01","4.00","1.05",
"HOREDEM0105","libre","1.08","4.00","1.12",
"HOREDEM0106","libre","2.36","4.00","2.45",
"HOREDEM0107","libre","3.13","4.00","3.25",
"HOREDEM0108","libre","2.21","4.00","2.30",
"HOREDEM0109","libre","2.69","4.00","2.80",
"HOREDEM0110","libre","2.36","4.00","2.45",
"HOREDEM0111","Cebolleta blanca- Edemur- manojo 4/5 uds","1.88","4.00","1.95",
"HOREDEM0112","Hinojo Bulbo Manojo - EDEMUR -precio manojo","1.54","4.00","1.60",
"HOREDEM0113","Berenjena Blanca Tradicion-Edemur- Precio kg","2.45","4.00","2.55",
"HOREDEM0114","Patata Blanca Universa -Edemur - 1 kilo","1.83","4.00","1.90",
"HOREDEM0115","libre","1.97","4.00","2.05",
"HOREDEM0116","Apio verde - Edemur - manojo 700 gr. aprox","2.45","4.00","2.55",
"HOREDEM0117","Cebolla tierna blanca- Edemur-manojo","1.15","4.00","1.20",
"HOREDEM0118","Nabo blanco- Edemur-precio manojo 3/4uds","1.88","4.00","1.95",
"HOREDEM0119","Romero fresco- Edemur- manojo 150gr aprox.","2.26","4.00","2.35",
"HOREDEM0120","Tomillo fresco- Edemur- manojo 100gr aprox.","3.17","4.00","3.30",
"HOREDEM0121","Apionabo -Edemur -manojo 2-3 piezas","2.79","4.00","2.90",
