"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
,,,,"Total:2,81",,"Total:5,61",
"La Verdera Interior S.L.","Sobrasada vegetal - La Verdera - 135gr","2,00","2,75","5,50","4,75","9,50",
"La Verdera Interior S.L.","Tahini - La Verdera - 135gr","1,00","3,25","3,25","5,20","5,20",
,,,,"Total:8,75",,"Total:14,70",
"Libreria CAES","La Agenda de las Mujeres 2017","1,00","13,46","13,46","14,00","14,00",
,,,,"Total:13,46",,"Total:14,00",
"Lilliput -Tus Brotes Verdes","Kit de Germinacion en casa - Lilliput","1,00","8,70","8,70","15,25","15,25",
"Lilliput -Tus Brotes Verdes","Semillas de Brocoli - Lilliput - 100gr","1,00","2,56","2,56","3,85","3,85",
"Lilliput -Tus Brotes Verdes","Semillas de Fenogreco - Lilliput - 100gr","1,00","2,02","2,02","3,05","3,05",
"Lilliput -Tus Brotes Verdes","Semillas de Rabanito China Rose -Lilliput - 100 gr.","1,00","2,13","2,13","3,20","3,20",
"Lilliput -Tus Brotes Verdes","Semillas de Rucula -Lilliput - 100 gr.","1,00","2,56","2,56","3,85","3,85",
,,,,"Total:17,97",,"Total:29,20",
"Mana pistachos","Pistacho crudo- Mana pistachos - 500gr -Bolsa atmosfera controlada","19,00","9,50","180,50","10,55","200,45",
,,,,"Total:180,50",,"Total:200,45",
"Miel Antonio Simon","Miel de Cantueso -Antonio Simon- 1kg","4,00","8,10","32,40","12,90","51,60",
"Miel Antonio Simon","Miel de Castano -Antonio Simon- 500g","1,00","4,65","4,65","6,70","6,70",
"Miel Antonio Simon","Miel de Espliego - Antonio Simon- 1kg","1,00","8,10","8,10","11,70","11,70",
"Miel Antonio Simon","Miel de Eucalipto -Antonio Simon- 1kg","6,00","8,10","48,60","12,90","77,40",
"Miel Antonio Simon","Miel de Eucalipto -Antonio Simon- 500g","4,00","4,65","18,60","7,40","29,60",
"Miel Antonio Simon","Miel de Roble - Antonio Simon- 1kg","3,00","9,30","27,90","12,90","38,70",
,,,,"Total:140,25",,"Total:215,70",
"Miquel Teres Farres (FruitalpuntBio)","Manzana Golden Delicius - FruitalpuntBio- 1 kilo","24,66","1,20","29,59","2,20","54,24",
,,,,"Total:29,59",,"Total:54,24",
"NATURAL CRUNCH-VitaSnacks","Bolsa Platano Deshidratado- VitaSnack -28 g","1,00","1,68","1,68","2,55","2,55",
"NATURAL CRUNCH-VitaSnacks","Fresa Crujiente- VitaSnack -24 g","1,00","2,03","2,03","3,05","3,05",
"NATURAL CRUNCH-VitaSnacks","Naranja Crujiente- VitaSnack -24 g","2,00","1,80","3,60","2,70","5,40",
"NATURAL CRUNCH-VitaSnacks","Tomate Crujiente- VitaSnack -24 g","1,00","1,68","1,68","2,55","2,55",
,,,,"Total:8,99",,"Total:13,55",
"PAMIES VITAE (Pamies Horticoles SL)","Biodent Vital- dentifrico- Pamies Vitae- 75 ml","10,00","2,60","26,00","4,50","45,00",
"PAMIES VITAE (Pamies Horticoles SL)","Champu de Lavanda y Salvia- Pamies Vitae- (200 ml)","2,00","3,31","6,61","7,00","14,00",
"PAMIES VITAE (Pamies Horticoles SL)","Digevita - mezcla de hierbas para DIGESTION - Pamies vitae - 120 gr","3,00","5,00","15,00","7,50","22,50",
"PAMIES VITAE (Pamies Horticoles SL)","Estevia Fluid -liquido 50 ml- Pamies Vitae","2,00","2,90","5,80","5,00","10,00",
"PAMIES VITAE (Pamies Horticoles SL)","Estevia Instant en polvo- Pamies Vitae- 100 gr","5,00","10,27","51,36","8,00","40,00",
"PAMIES VITAE (Pamies Horticoles SL)","Esteviatabs - 300 comprimidos de 60 mg- Pamies Vitae","1,00","3,00","3,00","5,00","5,00",
"PAMIES VITAE (Pamies Horticoles SL)","Manzanilla - Matricaria chamomilla - Pamies Vitae - bolsa","1,00","3,80","3,80","8,00","8,00",
